"PRO_COM","Municipality","IFC_decile","Year","GRINS_macroclass","GRINS_class","Period"
4226,"Torre Bormida",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4227,"Torre Mondovì",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4228,"Torre San Giorgio",1,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
4229,"Torresina",10,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4230,"Treiso",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4231,"Trezzo Tinella",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4232,"Trinità",2,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
4233,"Valdieri",2,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4234,"Valgrana",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4235,"Valloriate",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4237,"Venasca",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4238,"Verduno",1,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4239,"Vernante",3,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
4240,"Verzuolo",3,"2018","2 ITALIA DI MEZZO","2.1.1.2 - Continuum urbano-rurale di montagna/collina interna a media densità di popolazione","Pre-COVID"
4241,"Vezza d'Alba",3,"2018","2 ITALIA DI MEZZO","2.1.1.2 - Continuum urbano-rurale di montagna/collina interna a media densità di popolazione","Pre-COVID"
